station_name,river_name,water_body_type,predicted_label,predicted_non_compliance_probability,top_positive_shap_features,top_negative_shap_features,shap_explanation_text
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",Pilli,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Mor river  near Padalashe, Village. Padalashe,Taluka. Jalgaon, District. Jalgaon.",Mor,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",Vashishti,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",Mutha,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
Thane creek Flamingo Sanctuary,Thane,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mula river at Aundh bridge, Village. Aundhgaon,Taluka. Haweli, District. Pune.",Mula,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Godavari river at Nandur.Madhmeshwar Dam, Village. Nandur, Taluka. Niphad, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Surya River at U/S of Surya Dam, Village. Dhamni, Taluka. Vikramgad, District. Thane.",Surya,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Darna river at Sansari, Village. Sansari,Taluka. Nashik,District. Nashik.",Darna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
Thane creek Flamingo Sanctuary,Thane,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Godavari river at Nandur.Madhmeshwar Dam, Village. Nandur, Taluka. Niphad, District. Nashik.",Godavari,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",Dandi,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
Penganga River at Mehkar .Buldana Bridge.Akola,Penganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Gosekhurd Dam village - Gosekhurd, pauni, Dist- Bhandara",Gosekhurd,Dam,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhatsa River at D/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",Bhatsa,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bhima river at Daund near Mahadev temple,Village. Daund, Taluka. Daund, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",Panchaganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara.",Nira,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Vaitarna river near road bridge, Village. Gandhare, Taluka. Wada, District. Thane.",Vaitarna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bori river, D/S of Amalner, Village. Amalner, Taluka. Jalgaon, District. Jalgaon.",Bori,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Kanhan river at U/s of M/s Vidarbha Paper Mills, Village. Sinora, Taluka. Parseoni, District. Nagpur.",Kanhan,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
Morna River D/s of Railway Bridge Akola ,Morna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",Panchaganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Dhom Dam, Village. Wai, Taluka.Mahabaleshwar, District.Satara.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Bhima river at Takli near Karnataka border, Village. Takali, Taluka. South Solapur,  District. Solapur.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pimpal.Paneri nalla at Ratnagiri near Finolex Industries, Village. Yahganigaon, Taluka. Ratnagiri, District. Ratnagiri.",Pimpal.Paneri,Nala,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Patalganga river at Khalapur pumping station, Village. Khalapur, Taluka. Khalapur, District. Raigad.",Patalganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",Kolar,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",Dandi,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",Savta,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river at U/s of Gangapur Dam, Village. Gangapur,Taluka. Nashik, District. Nashik.",Godavari, Dam,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",Wardha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",Pilli,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Darna river at Bhagur pumping station near Pandhurli bridge, Village. Bhagur,Taluka. Nashik,District. Nashik.",Darna,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Purna river at D/s of confluence of Morna and Purna, at Andura Village, Village. Andura, Taluka. Balapur, District. Akola.",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Koyna River at Karad, Village. Karad,Taluka. Karad, District. Satara.",Koyna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Savitri river at Muthavali village,  Village. Muthavali, Taluka. Mahad, District. Raigad.",Savitri,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Mula.Mutha river at D/s of Theur, Village. Theur, Taluka. Haweli, District. Pune.",Mula.Mutha,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ujani dam pumping station, Dist- Solapur ",Ujani,Dam,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Darna river at Chehedi water works (pumping station), Village. Chehedi, Taluka. Nashik, District. Nashik.",Darna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Venna river at Varye, Village . Varye,Taluka. Satara, District. Satara.",Venna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Savta Creek, Village. Savta, Taluka. Dahanu, District. Thane.",Savta,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",Mutha,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC )",Amba,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at Tapovan,Village. Tapovan, Taluka. Nashik, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhatsa river at D/s of Pise Dam, Village. Pise, Taluka. Bhiwandi, District. Thane.",Bhatsa,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Mula river at Harrison bridge near Mula.Pawana sangam, Village. Bopodi,Taluka. Haweli, District. Pune.",Mula,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Kundalika river at Dhatav at Jackwell , Village. Dhatav,Taluka. Roha, District. Raigad.",Kundalika,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Godavari river at Hanuman Ghat, Village. Nashik city, Taluka. Nashik, District. Nashik.",Godavari,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Nag river near ambazari lake, Dist- Nagpur",Nag,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas river at U/s of Badlapur water works, Village. Kulgaon, Taluka. Ambernath, District. Thane.",Ulhas,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",Bhima,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Rangavali river at D/s of Navapur near Rangavali bridge, Village. Navapur, Taluka. Navapur, District. Nandurbar.",Rangavali,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Krishna river at Krishna bridge, ( Krishna river at NH.4 bridge ) Village. Karad, Taluka. Karad, District. Satara.",Krishna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Venna river at  Mahabaleshwar, Village. Mahabaleshwar, Taluka. Mahabaleshwar, District. Satara.",Venna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Patalganga river at Gagangiri Maharaj Temple, Village. Khopoli, Taluka. Khalapur, District. Raigad.",Patalganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
